Timestamp,How many years have you been doing data visualization?,What is your educational background?,How did you learn to create data visualization?,Did you set out to work in data visualization or did you fall into it?,Is this your first job doing data visualization?,What is your official job title?,Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?,What focus is data visualization in your work?,For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,What's your employment status,How is your organization using data visualization?,Is there a separate group that does data visualizations or are you embedded in another group? (data science UX UI web data engineering IT etc),What level of data visualizations are used at your organization?,Are data visualization specialists represented in the leadership of your organization?,Data visualization roles at your organization are found in what part of the organization?,Percent of your day focused on creating/implementing/productizing data visualizations?,Percent of your day focused on data engineering?,Percent of your day focused on data science?,Percent of your day focused on design?,Percent of your day focused on data prep work?,What technologies do you use to visualize data?,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations?,Which of these charts have you used in production in the last 6 months:,Who do you make data visualizations for?,What knowledge level do they have of the data you are visualizing for them?,How often do they consume your data visualizations?,What do they use your data visualizations for?,How would you describe the relationship?,What is your biggest frustration with your job?,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your job what would it be?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,What one change would make your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,Gender,Age,Where do you live?,What’s your ethnicity?,The organization you work for is in which of the following?
2/28/2017 13:55:20,1,Bachelors,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Economic Data Visualization Specialist,Data Visualization Role has same compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Communication;Marketing,Both,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Research;Analytics,80,0,0,80,10,Illustrator;Excel;Tableau,I'm able to choose my own tools.,Dashboard;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Choropleth Map;Flow Diagram,General Public,Intro;Moderate,Daily,Learning;Research,Collaborative,Too much work- not enough time,Quick turnaround,More time for short-term projects,More time to focus on design and narrative,Good design takes time,,Data viz for social good,Upshot;538,Same,female,25 or younger,USA or Canada,,Private sector
3/1/2017 15:03:24,5,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Scientist,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Design;Engineering;Research;IT,5,10,50,0,10,Illustrator;Excel;D3;Pandas;Other Python;QGIS;Gephi;Cytoscape,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Network Diagram;Choropleth Map;Raster Map,Analysts;Engineers;Scientists;Project Managers;Executives,Moderate,,Analysis;Learning;Research,Consultative,,Limited Deployment options,Doing fewer things at a higher quality,I want my work to be more beautiful and compelling,That everyone needs basic data vis training,,The hard problems: conveying uncertainty- dealing with crappy data- high dimensional data- accessibility in vis- graphs- maps- vis education at all levels. I would like to see more bake offs between existing tools and libraries. I would like ,UW;Alberto Cairo;Tableau;Robert Kosara;Lena Groeger,More,male,26 - 35,USA or Canada,white,Public sector
2/27/2017 12:25:16,5,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Assistant Professor,Data Visualization Role has same compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Exploration,Embedded in another team,ggplot2/Pandas Charts;Completely custom,No,Research,10,10,25,5,30,D3;Processing;ggplot,I'm able to choose my own tools.,Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Choropleth Map,General Public;Scientists,Expert,Monthly,Analysis;Summarization;Research,Collaborative,,,,,,,,Val Head;Andy Kirk;Alberto Cairo;Hadley Wickham,Same,male,36 - 45,USA or Canada,white,Not-for-profit
3/8/2017 2:34:49,3,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Researcher,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Exploration,Embedded in another team,Completely custom,Yes,Research,30,5,5,20,15,D3;Other Javascript;Java;Other MVC,We have a set list of tools we're expected to use for data visualization.,Dashboard;Documents,Line Chart;Bar Chart;Pie Chart;Dendrogram;Network Diagram;Geographic Map,General Public;Analysts;Scientists;Executives,Moderate,Daily,Analysis;Summarization;Research,Consultative,Old stack- lack of time for refactoring,I am not good enough,More time for profound roadmap,Becoming better at it,The difficulties with the old stack; browser issues,Refactoring for an up-to-date stack,Maintaining old code,Walter Rafelsberger,Same,male,36 - 45,Europe,,Academic
2/27/2017 19:31:10,4,Bachelors,Mostly Self-Taught,Intended to work in data visualization,No,,Data Visualization Role has Lower compensation,Data visualization is the focus of my job,Hired to do data visualization,Other,Communication;Journalism,Separate data visualization team,Completely custom,Yes,Graphics,30,0,10,10,30,Illustrator;Excel;D3;Other Javascript;ggplot,We have a set list of tools we're expected to use for data visualization.,Static Web Page,Line Chart;Bar Chart;Infographics;Treemap;Choropleth Map;Flow Diagram,General Public;Analysts,Intro,Hourly,Entertainment;Analysis;Summarization,,Needing to constantly convince people the value of data visualization- explaining the kind of data required for data visualization- and making people realize that good data visualization takes time to do,Tight deadlines,Having more time to think things through; have others provide feedback on my work,More experimentation with new forms of data visualization,It's just as a legit form of journalism as text and multimedia; needs time to do it right,Having real authority to say no,how to deal with difficult clients- how to convince decision makers value of custom visualizations that are resource intensive,Washington Post;NYT;Moritz Stefaner,More,female,,,,
2/28/2017 14:25:52,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Director,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,Marketing;Analytics,20,10,30,10,30,Excel;Tableau;Plotly;D3;ggplot;Other R;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Documents;Presentations;Email,Line Chart;Bar Chart;Raster Map;Statistical visualizations like box plots,Analysts;Engineers;Scientists;Product Managers;Executives,Intro;Moderate;Expert,Weekly,Analysis;Summarization;Learning,Consultative,,,,,It is not all art. There are well-known principles for how people perceive information and those principles should be followed- in general,,,William Cleveland;Amanda Cox;Junk Charts,Same,male,36 - 45,USA or Canada,white,Public sector
2/27/2017 11:03:55,4,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,,Data Visualization Role has same compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication,Embedded in another team,Business Intelligence Tools;GGPlot/Pandas Charts;General charting libraries;Completely custom,No,Engineering,50,0,0,50,0,D3;Other Javascript;React,I'm able to choose my own tools.,Dashboard;Custom Application,Line Chart;Bar Chart;Other,Analysts;Engineers;Scientists;Product Managers;Executives,Expert,Weekly,Analysis;Summarization;Learning,Consultative,,,,,,,,,Same,female,,USA or Canada,asian,Private sector
2/27/2017 11:53:16,10,Masters,Mostly Self-Taught,Intended to work in data visualization,No,Design Technologist,Data Visualization Role has Lower compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication,Separate data visualization team,Completely custom,Yes,Design;Engineering;Research;Other,50,0,5,20,20,Illustrator;Excel;D3;Processing;Leaflet;WebGL;Other Javascript;Other Python;React;Other,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Static Web Page;Custom Application,Line Chart;Bar Chart;Network Diagram;Choropleth Map;Raster Map;3D Chart;VR/AR Charting;Other,General Public;Analysts;Engineers;Scientists;Medical Professionals;Product Managers;Executives,Intro;Moderate;Expert,Monthly,Analysis;Summarization;Learning;Research,Consultative,,,,,,,,,Same,male,36 - 45,USA or Canada,white,Mixed
2/27/2017 12:23:30,10,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,,Data Visualization Role has Lower compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,Design,,,,,,Illustrator;Excel;Tableau;Other R,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Static Web Page;Presentations;Email,Line Chart;Bar Chart;Network Diagram;Choropleth Map,General Public;Scientists,Moderate,,,,,,,,,,,,More,,,,,
2/27/2017 12:23:36,2,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Managing Director,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Other,Analysis;Machine Learning;Summary/Overview;Communication,Both,General charting libraries;Completely custom,Yes,All of it,15,25,80,5,25,D3;Leaflet;Mapbox;Highcharts;Other Javascript;React;plain svg,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart;Treemap;Dendrogram;Network Diagram;Custom charts;many,General Public;Analysts;Engineers;Scientists;Medical Professionals;Product Managers;Project Managers;Executives,Expert,Daily,Analysis;Summarization;Research,Collaborative,JavaScript- WebPlatform,Many people doing Data Visualization without understanding Data/Statistics/Business (fancy design but crappy data skills),Elm- Haskell,,,Standards,,,Same,male,36 - 45,Europe,,Private sector
2/27/2017 12:24:00,1,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Data Engineer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Engineering;Marketing,60,0,10,0,30,D3;ggplot;Pandas,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Static Web Page;Documents;Presentations,Line Chart;Bar Chart,Analysts;Scientists;Product Managers;Project Managers;Executives,Moderate,Monthly,Analysis;Summarization,Consultative,Siloed ,Requirements unclear/changing,Larger team- more collaborative,More communication between me and teams requesting the dataviz,It’s based on their needs and use-cases- they need to communicate what they want/will be using this for.,Increased collaboration and communication,Tips for beginners,,More,male,25 or younger,USA or Canada,asian,Private sector
2/27/2017 12:25:00,10,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,Yes,Freelancer,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,,Consultant,,,,,,30,5,10,10,5,Illustrator;Tableau;D3;Mapbox;Pandas;Other Python;React,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Treemap;Network Diagram;Choropleth Map;Raster Map,General Public;Analysts,Intro;Moderate;Expert,Daily,Entertainment;Analysis;Summarization;Learning;Research,Consultative,,Hard to balance one-offs with long-term sustainable developments,,,,,,,Same,male,36 - 45,,,Mixed
2/27/2017 12:25:26,1,,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Business Analyst,Data Visualization Role has higher compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis,Embedded in another team,Business Intelligence Tools,No,Research,5,10,5,3,10,Excel;Tableau;Power BI;Other BI,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart;Flow Diagram,Analysts;Project Managers;Executives,Moderate,Daily,Analysis;Summarization,Collaborative,Lack of time for research (d3- JavaScript- wtc),Inconsistent views,More time for self development,The tools I use,They are accounts- ie I have had to explain weighted averages,Training,More advice on the basics for js style libraries - core js,,Much more,male,26 - 35,Europe,white,Private sector
2/27/2017 12:33:15,5,Bachelors,Mostly Self-Taught,Intended to work in data visualization,No,Senior Data visualization Designer,Data Visualization Role has higher compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Design;Engineering,50,0,0,100,70,D3;Highcharts;Mode,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations,Line Chart,General Public,Moderate;Expert,Weekly,Analysis;Summarization;Learning;Research,Collaborative,,,,More of it,People might be stuck in conventional ways of thinking.,Having a team of dataviz people,That our field is still very fresh and a lot of it is still undefined,,Much more,male,26 - 35,USA or Canada,,Private sector
2/27/2017 12:33:44,7,PhD,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,No,Digital Humanities Specialist,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,Design;Research,10,20,20,10,20,Excel;D3;ggplot;Other R;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Scrollytelling;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Treemap;Network Diagram;Choropleth Map,General Public;Analysts;Scientists,Intro;Moderate,Weekly,Analysis;Summarization;Learning;Research,Collaborative,Lack of resources,Collaborators don't have a great understanding of the difficulties involved- and the importance of design decisions,,,,,,,Same,male,26 - 35,USA or Canada,white,Public sector
2/27/2017 12:35:50,6,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Insight Developer,Data Visualization Role has same compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Consultant,,,,,,10,60,8,2,20,Tableau;Power BI;Plotly;D3;Highcharts;ggplot;Other R,I'm able to choose my own tools.,Static Web Page;Presentations,Line Chart;Bar Chart;Treemap;Dendrogram;Network Diagram;Choropleth Map;Flow Diagram,Analysts;Executives,Moderate,Weekly,Analysis,Consultative,Decisions not made from the visualisations,Not good enough,more persuasive,,,,,,Same,male,36 - 45,Europe,white,Private sector
2/27/2017 12:36:19,7,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Business Intelligence Analyst,Data Visualization Role has same compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,IT,30,10,0,40,10,Excel;Tableau;Microstrategy,We have a set list of tools we're expected to use for data visualization.,Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart,Analysts;Product Managers;Project Managers;Executives,Moderate,Daily,Analysis;Learning;Research,Collaborative,,,,,,,,,More,male,26 - 35,USA or Canada,white,Private sector
2/27/2017 12:39:13,10,Bachelors,Mostly Self-Taught,Intended to work in data visualization,No,Information Designer,Data Visualization Role has higher compensation,Data visualization is the focus of my job,Hired to do data visualization,Consultant,,,,,,40,10,10,30,10,Illustrator;Processing;Other Python,I'm able to choose my own tools.,Documents;Presentations,Line Chart;Bar Chart;Custom,General Public,Intro;Moderate,Daily,Entertainment;Learning,Consultative,,,,,,,,,Same,male,,USA or Canada,white,
2/27/2017 12:42:13,3,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Editorial Developer,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Summary/Overview;Communication,Embedded in another team,General charting libraries;Completely custom,No,Design;IT;Editorial,30,0,0,5,15,Excel;D3;Highcharts,I'm able to choose my own tools.,Scrollytelling;Static Web Page,Line Chart;Bar Chart;Choropleth Map;Flow Diagram;Heatmap,General Public,Intro,Monthly,Entertainment;Learning,Subordinate,Not having the assets or skills to tell my own data stories- in many cases.,Getting my code to play nicely with the rest of our content management system.,A greater team emphasis on generating dataviz ideas.,,Other people are lacking in the skills or interest (or both) to create good data stories.,,,,More,male,26 - 35,USA or Canada,white,Not-for-profit
2/27/2017 12:43:45,6,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Director of Data Visualization,Data Visualization Role has higher compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;Completely custom,Yes,org is small.,40,,,40,20,Illustrator;Excel;Tableau;D3;Mapbox,I'm able to choose my own tools.,Dashboard;Documents;Presentations,Line Chart;Bar Chart;Infographics;Network Diagram;Choropleth Map,General Public;Analysts;Project Managers;Executives,Intro;Moderate,Weekly,Entertainment;Analysis;Summarization,Consultative,Communication,Access to data,More dataviz requirements,Wider audience,,More data,,,Much more,male,36 - 45,USA or Canada,white,Private sector
2/27/2017 12:45:05,10,Other,Mostly Self-Taught,Intended to work in data visualization,No,Graphic Designer,Data Visualization Role has Lower compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Communication,Both,General charting libraries;Completely custom,No,Design,50,0,0,50,5,Illustrator;D3;Other Javascript;Data wrapper;Google sheets,I'm able to choose my own tools.,Static Web Page;Documents,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map;Raster Map,Editorial staff,Intro;Moderate,Weekly,Entertainment,Collaborative,,,,,,,,,Same,male,26 - 35,Europe,white,Private sector
2/27/2017 12:45:50,2,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Software Developer,Data Visualization Role has same compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Exploration,Embedded in another team,Completely custom,No,Design;Engineering;IT,10,10,10,10,10,D3,We have a set list of tools we're expected to use for data visualization.,Static Web Page,Line Chart;Bar Chart;Chord Diagram,Analysts;Engineers;Project Managers,Expert,Weekly,Analysis;Summarization;Learning;Research,Collaborative,,,,,,,,,More,male,25 or younger,USA or Canada,white,Public sector
2/27/2017 12:47:32,5,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Scientist,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview,Both,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Research;IT,10,40,20,5,25,Excel;D3;Other Javascript;Pandas;Other Python;React,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart;Dendrogram,General Public;Scientists,Moderate;Expert,Daily,Research,Collaborative,,,,,,,,,Same,,,,,Public sector
2/27/2017 12:48:15,10,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Research Computer Scientist,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis,Embedded in another team,Business Intelligence Tools;General charting libraries;Completely custom,No,Research,50,50,50,50,80,Tableau;D3;Other Javascript;Other Python;Java,I'm able to choose my own tools.,Embedded in a tool;Documents,Network Diagram;Flow Diagram,Analysts;Scientists,Expert,Quarterly,Analysis;Research,Consultative,,,,,,,,,Much more,male,46 - 55,USA or Canada,white,Public sector
2/27/2017 12:49:02,6,Masters,Mostly Self-Taught,Intended to work in data visualization,No,CTO,Data Visualization Role has same compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Exploration,Embedded in another team,,Yes,Design;Engineering;Research;IT,50,30,10,0,0,React,I'm able to choose my own tools.,Embedded in a tool;Dashboard,Line Chart;Bar Chart;Pie Chart;Treemap;Network Diagram;Flow Diagram,Analysts;Executives,Moderate,Weekly,Analysis;Exploration/discovery,Collaborative,,,,,,,,,,,26 - 35,Europe,,Private sector
2/27/2017 12:50:52,3,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Development Operations Associate,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,No,Marketing;Research,10,30,5,0,30,Excel;Tableau;Power BI;ggplot;Pandas;Other Python,I'm able to choose my own tools.,Dashboard;Documents;Presentations;Email,Line Chart;Bar Chart,General Public;Analysts;Project Managers;Executives,Expert,Weekly,Entertainment;Analysis;Summarization;Research,Consultative,Meeting requirements set by individuals who don't understand the underlying data structure.,Having to do them in Excel,Better data quality,More data viz- more independence with creating data viz.,The importance of non-static data visualizations. Allowing data viz experts to lead data exploration process.,Management change,,,More,male,26 - 35,USA or Canada,,Not-for-profit
2/27/2017 12:52:20,5,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Exploration,Embedded in another team,ggplot2/Pandas Charts;Completely custom,No,Engineering;IT,,,,,,D3;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Dashboard,Line Chart;Bar Chart;Pie Chart;Network Diagram;3D Chart,Analysts;Product Managers;Project Managers,Expert,Daily,Analysis;Summarization;Research,Collaborative,,,,,,,,,More,,,,,Private sector
2/27/2017 12:56:34,9,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,GIS Analyst,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Exploration,Embedded in another team,ggplot2/Pandas Charts;Completely custom,No,IT,10,5,5,10,70,Illustrator;Excel;D3;Leaflet;ggplot,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Choropleth Map;Raster Map;Flow Diagram,General Public;Analysts;Scientists,Intro,Daily,Summarization,Collaborative,"Resistance to innovation in visualisation. Keeping the same format for decades because ""that's how it's always been done""",,More flexibility,More innovation,Don't understand that data viz is a narrative,,I like blogs- especially those outlining thought processes,,More,male,26 - 35,Europe,white,Public sector
2/27/2017 12:58:24,2,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Visualization Analyst,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Marketing,Embedded in another team,Business Intelligence Tools,No,Analysis,90,5,0,5,,Tableau,We have a set list of tools we're expected to use for data visualization.,Dashboard,Line Chart;Bar Chart,Analysts;Executives,Moderate;Expert,Monthly,Analysis;Summarization,Consultative,,,,,,,,,More,female,25 or younger,USA or Canada,white,Private sector
2/27/2017 12:58:34,5,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,UX Engineer,Data Visualization Role has same compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Exploration,Both,Completely custom,No,Design;Engineering,30,5,5,55,5,D3;Other Javascript;React,I'm able to choose my own tools.,Embedded in a tool,Line Chart;Bar Chart,Analysts;Engineers,Moderate;Expert,Hourly,Analysis;Summarization;Research,Consultative,,,,,,,,,Much more,female,26 - 35,USA or Canada,white,Private sector
2/27/2017 12:59:20,5,Masters,Mostly Self-Taught,,No,Research Software Developer,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Summary/Overview;Communication;Exploration,Separate data visualization team,Completely custom,No,Research;IT,80,10,,5,5,D3;Other Javascript;Other Python,I'm able to choose my own tools.,Web application,Line Chart;Bar Chart;Dendrogram;Network Diagram;Many custom charts,Scientists,Expert,Weekly,Summarization;Learning;Research;Exploration,Collaborative,Not working with other devs/visualizers,Distilling large amounts of data into browser-handleable forms,Work with more people,,,,,,Same,,,,,
2/27/2017 13:03:08,2,Masters,Mostly Self-Taught,Intended to work in data visualization,Yes,Consultant,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Consultant,,,,,,30,0,20,0,20,Illustrator;Excel;Leaflet;Mapbox;Highcharts;ggplot;Raw;Carto,I'm able to choose my own tools.,Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart;Treemap;Network Diagram;Choropleth Map,Analysts;Executives;Marketing Managers,Moderate,Weekly,Analysis;Learning,Collaborative,,,,,that it is important to pay attention to details,,,,More,female,26 - 35,,white,Private sector
2/27/2017 13:03:27,10,PhD,Mostly from School,Intended to work in data visualization,No,Professor,Data Visualization Role has higher compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Communication;Exploration,Both,Completely custom,Yes,Design;Research,5,10,5,10,10,D3;WebGL;Other Javascript;Other R,I'm able to choose my own tools.,Static Web Page;Documents;Presentations,Bar Chart;Network Diagram,General Public;Analysts;Scientists,Intro;Moderate;Expert,Weekly,Entertainment;Learning;Research,Collaborative,doing many other things that are not data visualization but are necessary to get to the visualization bit ,not having enough time for it,reduce admin work and focus more on visualization design and research,dedicate more time to it,some see in visualization pretty pictures and do not acknowledge the design- engineering and research involved,develop a visualization focus with reduction of other duties ,how to run projects in networks of diverse but complementary professionals ,,More,male,26 - 35,Europe,white,Public sector
2/27/2017 13:04:18,5,Bachelors,Mostly Self-Taught,Intended to work in data visualization,Yes,Graphics Editor,Data Visualization Role has Lower compensation,Data visualization is the focus of my job,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Separate data visualization team,ggplot2/Pandas Charts;Completely custom;Graphics;GIS,No,Design,40,0,20,20,20,Illustrator;Excel;D3;ggplot;QGIS,,,Line Chart;Bar Chart;Infographics;Choropleth Map,General Public,Intro,Monthly,Entertainment;Analysis;Summarization;Learning,,,,,,,,,,Same,male,25 or younger,USA or Canada,white,Private sector
2/27/2017 13:04:29,6,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Web Designer,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing;Exploration,Both,Business Intelligence Tools;General charting libraries;Completely custom,No,Design,,,,,,Excel;D3;Mapbox;Highcharts,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Static Web Page;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Dendrogram;Network Diagram;Choropleth Map;Raster Map;Flow Diagram,General Public;Executives,Moderate,Monthly,Analysis;Summarization;Research,Consultative,,,,,,,,,,male,26 - 35,USA or Canada,white,Private sector
2/27/2017 13:05:43,10,PhD,Mostly Self-Taught,Intended to work in data visualization,No,Research Scientist,Data Visualization Role has Lower compensation,Data visualization is the focus of my job,Data visualization is only part of my job,Student,,,,,,12,14,54,34,7,D3,I'm able to choose my own tools.,Scrollytelling,Bar Chart,Analysts,Intro,Daily,Entertainment;Analysis;Learning;Research,Collaborative,,,,,,,,,,,,,,
2/27/2017 13:06:15,8,PhD,Mostly from School,Intended to work in data visualization,No,Data Visualization Engineer,Data Visualization Role has same compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Exploration,Embedded in another team,Completely custom,Yes,Design;Engineering,80,10,0,10,0,D3;Leaflet;Mapbox;Pandas;Other Python;React,I'm able to choose my own tools.,Embedded in a tool;Dashboard,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Dendrogram;Network Diagram;Choropleth Map;Raster Map,Analysts;Engineers;Scientists;Executives,Moderate;Expert,Hourly,Analysis;Summarization,Consultative,I don't like data piping,Integrating them with the app architecture,Having the choice of app architecture,Working with other datavis engineers,Design is just a small part of datavis engineering,Having a clear data API layer instead of recreating it each time,Programming patterns to share charts- integration layer- data layer,,Same,male,36 - 45,USA or Canada,white,Private sector
