Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
2-5	4	Bachelors	IT engineer	Mostly Self-Taught	Workshops	Ended up doing data visualization as a requirement of the job	No	BI Developer	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Consulting company, developing for other companies	Both	Business Intelligence Tools (like Tableau) Charts	Yes	Data Science/Analytics	4	1	0	2	1	0	Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot	Analysts, Engineers, Product Managers, Project Managers, Executives	Moderate	Daily	Analysis, Summarization, Research, PR/Branding	Consultative	5	The design side of data visualization	Lack of feedback on their usage.	Mid and long term feedback request.	Business should put more ownership in it. A developer without inputs is datadrivern. What often not matching with real business scenarios.	3	2	More reseasrch.	Dedicated time for reseacrching might help with the above. :)		Same	Male	26-35	Hungary	Public sector
2-5	4	Other		Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Architect	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Real Time	Embedded in another group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Yes	Data Science/Analytics	1	3	2	1	1	0	D3, Plotly, Python, R, Anycharts	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, VR/AR Charts	General Public, Analysts, Engineers, Scientists	Expert	Daily	Analysis, Summarization, Research	Collaborative	5	The design side of data visualization				4	4			Mike Bostock	Much more	Male	46-55	North Carolina	
2-5	5	Other	Geog /  Environmental Studies	Mostly Self-Taught	Examples	Intended to work in data visualization	No	Student	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Student						2	1	1	1	1	1	ArcGIS, D3, Excel, Highcharts, Leaflet, QGIS, R	I'm able to choose my own tools.	Scrollytelling, Static Web Page	Line Chart, Bar Chart, Scatterplot	General Public, Analysts, Scientists	Moderate	Quarterly	Education	Consultative	2	The data side of data visualization	Still learning	Easy access to data	Usefulness	3	3	More time	Use examples	Edward Tufte	More	Female	56+	British Columbia	Academic
2-5	5	Bachelors	Computer Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	ETL Developer and Analyst	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview, Exploration	Separate data visualization group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Excel/PowerPoint	No	Data Science/Analytics	2	4	0	2	2	0	Excel, ggplot, Python, R, Tableau	I'm able to choose my own tools.	Documents	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map, Flow Diagram, Box & Whisker, Small multiples, Sparkline, Chord, Population pyramid, Sankey, Venn	Analysts, Executives	Intro, Moderate, Expert	Monthly	Summarization, Education, Research	Consultative	3	The design side of data visualization	Lack of opportunity / demand	Higher demand / data literacy	That it can provide flexible, on-demand answers & insights and not just "nice to know" summaries 	3	4			Enrico Bertini, Kaiser Fung, Nathan Yau, Alberto Cairo, Stephanie Evergreen	Much more	Male	26-35	Maine	Academic
2-5	5	PhD	Computer Science	Mostly from School	Examples	Intended to work in data visualization	No	Graduate Student	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Student						4	0	0	2	2	0	D3, Illustrator, Leaflet, Mapbox, Python, Tableau, WebGL, Data Illustrator	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page, Presentations	Line Chart, Bar Chart, Scatterplot, Infographics, Choropleth Map	General Public, Engineers, Scientists, Project Managers, Designers	Moderate	Monthly	Analysis, Summarization, Education, Research	Collaborative	5	The design side of data visualization	Performance issues (e.g. handling large datasets).	Spend more time on side projects. Work on designing and creating narrative visualizations.	Most of them get what I do.	3	5		More explanations of their design process and how they created po	Giorgia Lupi	Much more	Male	26-35	Georgia	Academic
2-5	5	Masters	Business	Mostly Self-Taught	Workshops	Ended up doing data visualization as a requirement of the job	Yes	Digital Humanities Developer	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Summary/Overview, Communication, Exploration	Separate data visualization group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Research	2	2	0	2	2	0	D3, Angular, Gephi, Highcharts, Illustrator, Leaflet, Mapbox, Processing, Python, QGIS, R, Tableau	I'm able to choose my own tools.	Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Network Diagram, Choropleth Map, Raster Map	General Public, Analysts, Scientists	Intro, Moderate, Expert	Monthly	Education, Research	Collaborative	2	The design side of data visualization	Work in a team of 1 - need more specialised people on design, development and data -sides to scale	Improve my process and further improve my development skills		4	4			OpenVisConf	More	Male	36-45	Ireland	Academic
2-5	5	PhD	Data Visualization	Mostly Self-Taught	Examples	Intended to work in data visualization	No	Lecturer in Curriculum Innovation	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Exploration, I work in a university and there are many other uses	Both	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Excel/PowerPoint	Don't Know	Design, Engineering, Research, Data Science/Analytics	1	0	1	1	0	0	D3, Excel, Processing, Python	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Artistic/creative Visualization	General Public, Analysts, Scientists	Intro, Moderate, Expert	Weekly	Education, Research	Collaborative	5	The data side of data visualization	Making enough time to do data Visualization	having more time to do data Visualization	the amount of time it can take	5	3	More practice			More	Male	26-35	Australia	Academic
2-5	5	PhD	Computer Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Assistant professor	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Academic	Analysis	Both	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code)	Don't Know	Data Science/Analytics	2	2	2	2	2	2	D3, ggplot, Illustrator, Python, React	I'm able to choose my own tools.	Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map	General Public, Analysts, Engineers, Scientists, Medical Professionals	Expert	Monthly	Analysis, Education, Research	Collaborative	5	The design side of data visualization				4	4				Much more	Male	46-55		Academic
2-5	5	Masters	Gerontology & Neuropsychology	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Visual Analyst	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), R and shiny	Yes	Research, Data Science/Analytics	2	0.5	2	2	3	0.5	ggplot, Highcharts, Leaflet, R	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Network Diagram, Choropleth Map, Flow Diagram	General Public, Analysts, Scientists, Medical Professionals, Project Managers, Executives	Intro, Moderate	Weekly	Analysis, Summarization, Education, Research, PR/Branding	Collaborative	4	The data side of data visualization	The lack of well documented code	Develop an efficient design & data workflow for reproducible analysis from pulling data from severs to pushing the visualization project to the web sever	The importance of reproducibility and documentation vs ‘point and click’ analysis	3	5				Same	Male	26-35	Australia	Academic
2-5	5	PhD		Mostly Self-Taught	Examples	Intended to work in data visualization	No		Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Completely custom (Processing, D3, custom code), R, python	Yes	Research, Data Science/Analytics	3	3	6	1	2	0	Cytoscape, ggplot, Plotly, Python, R	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Network Diagram, Flow Diagram	Analysts, Scientists, Medical Professionals	Moderate	Weekly	Analysis, Summarization, Research	Consultative	4	The design side of data visualization				3	4				More		N/A		Academic
2-5	5	PhD	Sociology	Equal Parts School and Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	PhD Candidate	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Student						2	0	2	0	1	0	ggplot, R, StatA	I'm able to choose my own tools.	Presentations		Academics 	Moderate	Weekly	Analysis, Summarization, Education, Research			Other										Female	26-35	California	Academic
2-5	5	Bachelors	Public Space design 	Mostly Self-Taught	Workshops	Intended to work in data visualization	Yes	Information Graphics Designer 	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Hired to do data visualization	Less	Consultant/Contractor/Freelancer						6	0	0	5	1	0.5	Excel, Illustrator	I'm able to choose my own tools.	Static Web Page, Documents	Line Chart, Bar Chart, Infographics, I try to create "new" visual representation of data 	General Public, Scientists, Project Managers	Intro, Moderate, Expert		Entertainment, Summarization, Education, Research, PR/Branding	Collaborative	2	Other	People wanting interactivity 	More interactivity 		5	2	Room for education 	That fun, exploration, new other ideas are okay (also if your not using the latest tools and or interactivity) 	Giorgia Lupi 	Much more	Female 	36-45	Netherlands	All
2-5	5	Other		Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Journalist	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Consultant/Contractor/Freelancer						5	1	3	2	1	0	D3, Leaflet, Mapbox, Python, QGIS, Vue, Web Components, Sketch	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Pie Chart, Hexbin/Heatmap, Infographics, Choropleth Map, Raster Map, Flow Diagram	General Public, Product Managers, Executives	Intro, Moderate, Expert	Weekly	Journalism, Analysis, Summarization	Consultative	2	The design side of data visualization	Not enough time as I'm a contractor without enough hours to work on data viz	I'd like a team to collaborate with	How long it takes	5	4	More time	Tools and techniques; how-to articles	Edward Tufte, David McCandless, Alberto Cairo, Mona Chalabi, Giorgia Lupi, Mike Bostock	More	Male	36-45	South Africa	Journalism
2-5	5	Masters	Journalism	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Editor	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Consultant/Contractor/Freelancer						2	2	2	1	3	0.5	D3, ggplot, Leaflet, Mapbox, Python, QGIS, R	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Treemap, Dendrogram, Choropleth Map	General Public, Product Managers, Project Managers	Intro, Moderate	Monthly	Journalism, Education, Research	Consultative	4	The design side of data visualization	Lack of time to do better	More interactive 		4	5	Better white label tools	More explained examples	Mike Bostock	More	Male	26-35	Brazil	Journalism
2-5	5	Bachelors	Computer Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	News Applications Developer	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Design, Editorial	2			2	4		D3, Angular, ggplot, Illustrator, Leaflet, Python, QGIS, R	I'm able to choose my own tools.	Dashboard, Scrollytelling, News applications	Line Chart, Bar Chart, Pie Chart, Scatterplot, Raster Map	General Public	Intro	Hourly	Journalism	Collaborative	4	Both	hard to find time to learn new things	time to learn new things and try out new approaches 	how much time it takes and what all is involved!	5	5	more time!	I often run into situations where those who don't have a background in data visualization seem to think they know a lot about it. I have to talk them into best practices or get usurped by those above me and have to apply bad design choices. I find this odd, because, for example, it isn't like as a technical person I'm telling reporters how to write their stories. I'd like to see more about how to handle these situations. I've developed some approaches over the years but I wonder how others handle this.	Mike Bostock, Alberto Cairo, Nathan Yau, New York Times, Washington Post	More	Male	26-35	Washington, DC	Journalism
2-5	5	PhD	Chemistry and physics	Mostly Self-Taught	Examples	Intended to work in data visualization	No	Newsroom Developer	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Communication, Exploration, journalism	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint, Localfocus (similar to Datawrapper)	No	Design, Research, it is part of the newsroom	5			1	2		D3, Excel, Gephi, Highcharts, Illustrator, Mapbox, R, React, Tableau, Vue, WebGL, Localfocus, Google Maps, Photoshop, Scrollama, DeckGL	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, embedded in news article, stepper story, longread, twitter gif, video	Line Chart, Bar Chart, Scatterplot, Pictorial Visualization, Network Diagram, Choropleth Map, Flow Diagram, Sankey, globe, bubble map, counter, unit chart	General Public	Intro	Weekly	Entertainment, Journalism, Education	Collaborative	4	Other	Responsive design for  all device sizes	Quieter work space	That you need to be able to do it all: analysis, design, story telling, web development, journalistic writing,....	3	5	More time to study	More diversity at conferences, not always the same speakers	Nathan Yau	Same	Female	36-45	Netherlands	Journalism
2-5	5	Bachelors	Math	Mostly Self-Taught	Remaking other people's work	Intended to work in data visualization	Yes	Graphics Editor	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Data Science/Analytics	3	0	0	1	1	0	D3, ggplot, Illustrator, Mapbox, Python, QGIS, R, WebGL	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Documents	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Choropleth Map, VR/AR Charts	General Public	Intro	Daily	Journalism	Collaborative	5	The data side of data visualization	Wish we'd be more adventurous in trying new forms. Mobile is hard. 			4	5				Same	Male	26-35	New York	Journalism
2-5	5	Masters		Equal Parts School and Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	No	Data Journalist	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Communication	Both	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Excel/PowerPoint	Yes	Design, IT, Data Science/Analytics	5			5	1		ArcGIS, Excel, Highcharts, Python, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap	Journalism 	Moderate	Daily	Journalism		3	The data side of data visualization	Messy data	Do full time dataviz work		5	5				Much more	Female	36-45	Turkey	Journalism
2-5	5	PhD	Math	Mostly Self-Taught	Examples	Intended to work in data visualization		Cartographer		Data visualization is an important secondary part of my job, but not the focus			Consultant/Contractor/Freelancer												D3, Python	I'm able to choose my own tools.	Scrollytelling, Static Web Page	Line Chart, Infographics, Choropleth Map, Raster Map	General Public, Scientists	Intro		Journalism, Research		4	The design side of data visualization				3	2				More	Male	46-55		Journalism
2-5	5	Bachelors	Environmental Engineering	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Data Scientist	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Both	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Yes	Design, Engineering, Research, Leadership, Data Science/Analytics	2	2	2		2		D3, Highcharts, Leaflet, Mapbox, Plotly, Python, QGIS, Vega, Vue, Web Components, WebGL	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Dendrogram, Network Diagram, Choropleth Map, Raster Map, Flow Diagram	General Public, Engineers, Scientists, Product Managers, Project Managers, Designers	Expert	Daily	Journalism, Analysis, Summarization, Education, Research	Collaborative	3	The design side of data visualization	time constrains	spend more time on the data discovery side to be able to do even more custom material	Thankfully the do understand the importance of it	4	5	Time	More education to the common public to help them understand better more complex visualization	Mike Bostock, Alberto Cairo	Much more	Female	26-35	Spain	Not-for-profit
2-5	5	Bachelors	Computer Science & Data Mining	Mostly Self-Taught	Examples	Intended to work in data visualization	No	Data Creative	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Consultant/Contractor/Freelancer						1	1.5	1	0.5	2	1	D3, Excel, ggplot, Leaflet, Mapbox, Plotly, Python, QGIS, R, React, Vega, Web Components, WebGL	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, Documents, Presentations, Email	Line Chart, Bar Chart, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map, Flow Diagram	General Public, Analysts, Executives, Designers	Moderate	Daily	Journalism, Analysis, Research	Collaborative	3	The design side of data visualization	Data Cleaning, preparation & lack of open source tools	Making it more interdisciplinary & collaborative	Design aspects of the process & pain of data preparation	4	5	More open-source data artifacts combining content, design, data analysis, visualization & monitoring - everything at one place to play & customize.	Teaching data Viz to non-designers & non-programmers 😋	Mike Bostock, Elijah Meeks, Micah Stubbs	Much more	Male	26-35	India	Not-for-profit
2-5	5	PhD	Math	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Janitor	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	director of NGO	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	We are too small to have parts	2	2	0.5	0	1	0	D3, ggplot, Leaflet, Plotly, Python, QGIS, R, Vue, Libreoffice calc	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page, Presentations	Line Chart, Pie Chart, Scatterplot, Flow Diagram	General Public	Intro, Moderate	Weekly	Journalism, Education	Collaborative	1	The design side of data visualization				5	5	An assistent			More	Male	36-45	Czechia	Not-for-profit
2-5	5	Bachelors	Journalism	Mostly Self-Taught	Workshops	Intended to work in data visualization	Yes	Data Visualization Specialist	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Hand-crafted in a graphics editor (Illustrator)	Yes	Research	3			2			ggplot, Illustrator, QGIS, Qlik	I'm able to choose my own tools.	Documents	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Flow Diagram	General Public, Executives	Moderate	Monthly	Entertainment, Summarization, Education, Research	Subordinate	4	The data side of data visualization				2	3				More	Female	26-35	Indiana	Not-for-profit
2-5	5	Masters	Computer Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Visualization Delivery Lead	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	Less	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code)	No	IT, Data Science/Analytics	3	1	0	1	0	0	Qlik, Tableau	We have a set list of tools we're expected to use for data visualization.	Embedded in a tool, Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Flow Diagram, Circle Packing	Executives, Internal business users	Intro	Daily	Analysis, Summarization, Education, Presentations	Collaborative	4	The design side of data visualization	Leadership only focus on data science and Visualization/design are seen as not as important	Able to spend more time on design	The value it brings the organisation and how it helps with communication.	4	4	Be more design focused and less reliant on Business Intelligence tools.	Continue what they are doing, bit influence leaders in other parts of the organisation and industry		Much more	Male	26-35	UK	Private sector
2-5	5	Bachelors	Business Administration	Mostly Self-Taught	Books	Intended to work in data visualization	No	Data Visualization Specialist	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Consultant/Contractor/Freelancer						4	0	0	3	1	2	D3, Illustrator, Mapbox, Tableau	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Choropleth Map	General Public, Analysts, Executives	Moderate		Journalism, Analysis, Summarization, Research	Consultative	5	The design side of data visualization	Difficult to find collaborative opportunities.	I would like to improve the reuse and maintainability of my code.	Most people lack the necessary intellectual curiosity to explore data with imagination, skepticism, and rigor.	1	5	More honest feedback. Polite feedback is worthless.	Many of the data visualization thought leaders should opine less and create more dataviz work. It sometimes feels like self-promotion takes precedence over more valuable creative and innovative activities.	Alberto Cairo	Much more		N/A		Private sector
2-5	5	Masters	Media communications	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Data Analyst	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts)	Yes	Design, Marketing, IT, Data Science/Analytics	3	0	1	1	5	0	ggplot, Illustrator, Python, R, Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Network Diagram, Choropleth Map, Flow Diagram	Analysts, Product Managers, Project Managers, Executives, Designers	Moderate	Daily	Analysis, Research	Consultative	4	The design side of data visualization	Divided attention, too little time to focus on deep work	Want more opportunities to take on stretch assignments in data viz	how long data prep can take	4	5	Better data quality	Knowledge sharing on the design process, not just on technical steps	Alberto Cairo	More	Male	36-45	Florida	Private sector
2-5	5	Masters	Engineering in Physics	Mostly Self-Taught	Books	Ended up doing data visualization as a requirement of the job	Yes	Analytics Senior Manager	Data Visualization Role has higher compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Employee at a Company	Analysis, Machine Learning, Communication, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	No	Design, Data Science/Analytics	1	1	0	1	1	0	Excel, Mapbox, Power BI, QGIS, Qlik, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Treemap, Network Diagram, Choropleth Map, Raster Map, Flow Diagram	General Public, Analysts, Scientists, Product Managers, Project Managers, Executives	Intro, Moderate	Weekly	Analysis	Collaborative	3	Both	No proper server solutions	More time for experimentstion	They see data viz as ”making charts pretty”	4	2	More trained colleagues 		Alberto Cairo, Stephen Few	More	Male	36-45	Sweden	Private sector
2-5	5	Technical School		Mostly Self-Taught	Books	Intended to work in data visualization	No	Dealer Analyst	Data Visualization Role has higher compensation	Data visualization is the focus of my job	Hired to do data visualization	More	Employee at a Company	Analysis, Summary/Overview, Marketing	Both	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Marketing, IT, Data Science/Analytics	5	1	0	3	4	0	Excel, Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap	Analysts, Product Managers, Executives	Expert	Daily	Analysis, Summarization	Collaborative	4	The design side of data visualization	Tableau Server is not great, usually quite slow to render graphics. 	having to constantly find data sources and fight for basic information that is not readily available in SQL Server.	They constantly want data, but not insights. Often they are focused on numbers, not the context behind them. 	2	3	Clean data.		Andy Kriebel	More	Male	36-45	Australia	Private sector
2-5	5	Other		Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Data Insights Artist, Team Director	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing	Embedded in another group	Business Intelligence Tools (like Tableau) Charts	Yes	Operations	6	0	1		1	0	Excel, R, Tableau	I'm able to choose my own tools.	Dashboard, Scrollytelling, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap	Analysts, Product Managers, Project Managers, Executives	Intro, Moderate, Expert	Hourly	Analysis, Summarization, Education, Research, PR/Branding	Consultative	5	The data side of data visualization	Not getting to be creative enough (sometimes, not always)	To be able to use next-level chart types more often. To get to do the “cool stuff” more and to be able to explore outside data sets. 	How long the “little” formatting things take & sometimes the constraints of data sources / unavailable data	2	4	Someone to mentor me (I AM the mentor at my company so I look to the Tableau Community for inspiration)	How to mine public data (a Tableau Public dataset repository would be awesome)	Anya A'Hearn, Jonathan Drummey, Matt Chambers, Ryan Sleeper, Joshua Mulligan, Ken Flerlage	Much more	Female	36-45	Texas	Private sector
