Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Mostly Self-Taught,"Workshops, Examples, Collaboration with more skilled practitioners",Learning a new technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,About as much as I expected for this role,Developer,$100k - $120k,,"Analysis, Summary/Overview, Exploration",Separate data visualization group,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Design, Research, Data Science/Analytics",10,5,10,10,5,0,"D3, ggplot2, Plotly, Python, R, Vega, Matplotlib",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap","Scientists, Medical Professionals, Project Managers",Moderate,Weekly,"Analysis, Summarization, Research",Consultative,5,building interactive functionality from scratch,employee a framework to handle interactivity,why the graphic is organized the way that it is,2,3,3,different data,how to find questions in your data that would be useful to answer,Mike Bostock,Same,4,Bachelors,Private sector,statistics,Man,"No, but I identify as an Ally","Durham, NC",USA,English
Mostly Self-Taught,"Workshops, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Developer,$40k - $60k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",Both,Business Intelligence Tools (like Tableau),6,"Design, Engineering, Marketing, Research, IT, Leadership, Data Science/Analytics",39,0,0,39,0,12,"Mapbox, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Choropleth Map, Swarm Chart","Analysts, Engineers, Product Managers, Project Managers, Executives","Moderate, Expert",Daily,Analysis,Collaborative,5,A lacknofninternal community and resistance to connecting with the external community.,I would have more time to finish work off properly.,The importance of spending time formatting and presenting the data correctly and cleanly and how this can help deliver a more professional result.,2,2,4,A more open internal community to learn from.,,"Simon Beaumont, Chris Love, ",Much more,0.5,Bachelors,Private sector,Product Design and Manufacture,Man,No,Bath,United Kingdom,English
Mostly Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,Less,Engineer,$200k+,,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration",Embedded in another group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Engineering, Data Science/Analytics",15,15,0,10,10,0,"Cytoscape, D3, Excel, Highcharts, Python, React, Semiotic, Tableau, WebGL, Pen & Paper, Greensock",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Scatterplot","Analysts, Engineers, Product Managers, Project Managers, Executives","Intro, Moderate, Expert",Monthly,"Analysis, Summarization",Collaborative,4,data cleaning / validation ,having clean fact/agg tables to work with,it's just the tip of the data iceberg (presentation layer),4,5,1,,,,More,4,Bachelors,Private sector,Computer Science,Man,Prefer not to say,,,
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others, College Courses",Learning a new technical tool or library,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Engineer,$200k+,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",Embedded in another group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Engineering, Marketing, Research, Leadership, Data Science/Analytics",20,10,0,5,5,0,"D3, ggplot2, Power BI, Python, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Embedded in a tool, Dashboard, Static Web Page, Presentations, Slack","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Swarm Chart","Analysts, Engineers, Scientists, Product Managers","Moderate, Expert",Weekly,"Analysis, Summarization, Research",Collaborative,4,data cleanup and consistency,more feedback and collaboration,"the amount of design, data preparation and data engineering involved",3,4,3,clean and clearly defined data,more discussion around visualization types instead of tools,,More,8,Bachelors,Private sector,Animation and Visual Effects,Man,No,Seattle,USA,English
Mostly Self-Taught,"Workshops, Examples, Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Designer,$60k - $80k,,"Communication, Storytelling",Embedded in another group,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7,"Design, Engineering, Data Science/Analytics",0,0,0,35,0,0,"Excel, Illustrator, Pen & Paper",I'm able to choose my own tools.,"Embedded in a tool, Scrollytelling, Static Web Page, Documents, Presentations, Newspaper or other physical handout","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization, Dendrogram, Network Diagram, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Swarm Chart","General Public, Analysts, Scientists, Project Managers, Executives",Expert,Monthly,"Journalism, Summarization, Education, Research, PR/Branding",Collaborative,5,Not enough time for innovation,Less art-directed,,4,3,4,Getting better at handling raw data,Best practice approaches and more critique,,Same,6,Bachelors,Private sector,Graphic Design,Man,"No, but I identify as an Ally",London,England,English
Equal Parts School and Self-Taught,"Books, Workshops, Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Designer,$60k - $80k,,"Communication, Storytelling, Education",There are no specialists in data visualization in my organization,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5,Design,16,0,0,20,4,,"Excel, Illustrator, Tableau",I'm able to choose my own tools.,"Embedded in a tool, Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Scientists, Executives","Moderate, Expert",Not tracked / Unknown,"Journalism, Analysis, Summarization, Education, Research",Consultative,2,,,,4,5,3,,,,More,3,Masters,Not-for-profit,Graphic Design ,Man,No,"Washington, DC",USA,
Equal Parts School and Self-Taught,"Workshops, Examples, Working through a project",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",,,"Analysis, Summary/Overview, Communication, Exploration",Embedded in another group,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator)",5,"Marketing, IT, Leadership, Data Science/Analytics",5,20,0,5,10,0,"Excel, Illustrator, Python, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Static Web Page, Presentations","Line Chart, Bar Chart, Pie Chart, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Engineers, Product Managers, Executives",Moderate,Weekly,"Analysis, PR/Branding",Collaborative,2,Not having enough time to deliver everything requested,,How long it takes,5,4,2,Repeatability,,,More,5,Bachelors,Private sector,Mathematics,Man,No,Cork,Ireland,English
Equal Parts School and Self-Taught,"Workshops, Examples",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Designer,$80k - $100k,$60.00,"Analysis, Communication, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",3,"Design, Data Science/Analytics",17,0,0,28,1,0,"Excel, Illustrator, Tableau",I'm able to choose my own tools.,"Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Swarm Chart","General Public, Analysts","Moderate, Expert",Daily,"Entertainment, Journalism, Analysis, Summarization, Research",Consultative,2,Lack of time to explore,Learn to use more tools,It needs to (help) tell a story or no one will care,5,4,3,Learning new tools,"More questioning, less telling you what they think",,More,8,Bachelors,Private sector,Graphic Design,Man,No,New York,USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Collaboration with more skilled practitioners, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$80k - $100k,,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling",Embedded in another group,Business Intelligence Tools (like Tableau),5,"Research, Data Science/Analytics, Operations",15,1,1,5,15,1,"Excel, Microstrategy, Power BI, Tableau, Pen & Paper, Other physical materials",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Scrollytelling, Documents, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, Research",Consultative,5,Data sources are scattered and inaccessible ,"Less time obtaining data, more time exploring it",The difficulty in obtaining and validating data,2,5,3,If Microstrategy and/or Tableau had better formatting options.,More industry data (many of the current discussions/blogs are built on public data),Edward Tufte,Much more,8,Bachelors,Private sector,Business Administration,Man,"No, but I identify as an Ally","Columbus, Ohio",USA,English
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,"Leadership (Manager, Director, VP, etc)",$100k - $120k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Both,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",5,"Design, Marketing, Leadership, Data Science/Analytics",4,1,0,4,4,2,Tableau,I'm able to choose my own tools.,"Dashboard, Scrollytelling, Interactive Notebook","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Treemap","General Public, Analysts, Product Managers, Project Managers, Executives","Intro, Moderate, Expert",Daily,"Analysis, Summarization, Research",Consultative,4,Data Integrity and consistency across all visualizations produced. ,Standard design principles and single source of truth across the organization ,Some still do not understand the benefits of looking at a dashboard compared to a report. ,3,3,2,Leadership buy in on a business resource to lead the standardization of our approach to visual analytics. ,Creating adoption and standardizing practices. ,Tableau Zen Masters,More,5,Bachelors,Private sector,Hospitality ,Man,No,"Atlanta, GA",USA,
Mostly Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,Designer,$80k - $100k,,"Analysis, Summary/Overview, Communication, Exploration, Storytelling, Education",Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5,"Design, Research, Data Science/Analytics",5,6,4,8,15,0,"ArcGIS, Excel, Illustrator, Tableau, Ucinet/Netdraw",I'm able to choose my own tools.,"Dashboard, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart), timelines","Analysts, Medical Professionals, Project Managers, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, Research",Collaborative,3,competing priorities,"I would have learned more automation methods (d3, R, processing)",Why it can take a long time.,5,5,5,I would get to do more of it.,Evidence based design principles,"Amanda Cox, Christopher Alexander",Much more,12,Masters,Not-for-profit,Social Problem Solving,Man,"No, but I identify as an Ally","Philadelphia, PA",USA,English
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$40k - $60k,$25.00,"Analysis, Summary/Overview, Communication, Exploration",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",3,Data Science/Analytics,4,0,10,0,20,6,"Excel, ggplot2, Plotly, R",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Project Managers, Executives",Moderate,Monthly,"Analysis, Summarization",Collaborative,3,Very little appreciation for good visualizations,Attitude of executives,"Assumption that is trivial and not useful, so a simple tool will do",4,4,4,Better awareness at the managerial and executive level,,,More,5,Masters,Private sector,Mathematics,Man,No,Bangalore,India,English
Mostly Self-Taught,"Books, Video Tutorials, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$120k - $140k,,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration",Both,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3,"Data Science/Analytics, Operations",10,10,0,5,5,0,"Excel, Power BI, Qlik",I'm able to choose my own tools.,"Dashboard, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Dendrogram, Network Diagram, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Product Managers, Project Managers, Executives",Intro,Daily,"Analysis, Summarization, Business Decisions",Collaborative,4,Am a people leader and no longer a developer,Dedicate more time to studying,"Caught up in buzz words, and don't understand fundamentals of a good visualization",4,4,2,"The phase ""we're data driven"" actually having substance and meaning","Best practices, lessons learnt, pitfalls to avoid","Steven Few, Miko Yuk, Howard Dresner ",Much more,8,Technical School,Private sector,,Man,No,Hong Kong,Hong Kong,English
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$80k - $100k,$35.00,"Analysis, Communication, Exploration",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),3,Data Science/Analytics,15,0,2,3,20,10,"Excel, Mapbox, Power BI, Qlik, Tableau, Pen & Paper",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Dashboard, Interactive Notebook, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization, Treemap","General Public, Analysts, Medical Professionals, Project Managers, Executives","Intro, Moderate, Expert",Daily,"Analysis, Summarization",Subordinate,2,Lack of clarity from the request,Access to more tools and training.,The value it brings,3,4,2,Training,Training ,,More,4,Masters,Private sector,Education ,Man,No,Cuyahoga Falls,USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Analyst,$40k - $60k,,"Analysis, Summary/Overview, Communication, Exploration",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Excel, PowerBI",6,Data Science/Analytics,5,5,20,,10,5,"Excel, Power BI, Python, R, Tableau",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Embedded in a tool, Dashboard, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Executives","Moderate, Expert",Quarterly,"Analysis, Summarization, Education",Collaborative,4,Organisational culture. I want that chart because that's what I've always had ,Presentation of data to audience,Data complexity,3,5,2,Better data platform,,Cole Knaflic,Same,1,Bachelors,Public sector,Event management,Man,No,London,United Kingdom,English 
Mostly Self-Taught,"Books, Workshops, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my data skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,Designer,$160k - $180k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",Both,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",4,"Research, Data Science/Analytics",3,0,0,20,2,0.25,"Excel, Illustrator, Tableau, Google Sheets, Data Illustrator, Adobe Xd",I'm able to choose my own tools.,"Static Web Page, Documents, Presentations, Email, PDF","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Dendrogram, Network Diagram, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Gantt Chart, Table, xenographics gallore","General Public, Engineers, Product Managers, Executives, Designers","Intro, Moderate",Daily,"Summarization, Education",Consultative,4,My inability to code,A larger percent of my job/time would be dedicated to it,"They don't understand the value of it—they don't invest in it. When we build products that surface data to end users, little effort is put into making that data useful/insightful.",3,5,3,More time to focus on it (less responsibilities elsewhere),More about data collection/cleaning best practices.,"RJ Andrews, Mara Averick, Alberto Cairo, Shirley Wu, Giorgia Lupi, Kenneth Field, Mike Bostock, Stefanie Posavec, Jason Forrest, Jon Schwabish",Much more,8,Bachelors,Private sector,BFA - Graphic Design,Man,No,"Cedar Hills, Utah",USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Collaboration with more skilled practitioners",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$120k - $140k,,"Analysis, Summary/Overview, Communication, Exploration, Education",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,"Research, Data Science/Analytics",5,10,20,1,4,0,"ggplot2, R",I'm able to choose my own tools.,"Documents, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Scientists, Project Managers, Executives","Intro, Moderate, Expert",Monthly,"Summarization, Education, Research",Collaborative,5,"Reluctant to go outside of ""traditional"" charts",Move away from word docs and PDF to facilitate interactive graphics,"Time and effort to make something that not only communicates information, but also looks good",4,5,3,Grammar of interactive graphics,,,More,4,PhD,Academic,Behavioral Neuroscience,Man,"No, but I identify as an Ally",Kansas City,USA,English
Mostly Self-Taught,"Books, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,Data visualization is the focus of my job,Data visualization is only part of my job,,Analyst,$80k - $100k,,"Analysis, Communication, Marketing, Storytelling",Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Design, Marketing",15,10,0,5,10,15,"Excel, ggplot2, R, Tableau",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Dashboard, Static Reports","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Flow Diagram (Sankey, DAGRE, Flow Chart)",External clients,Moderate,Monthly,"Analysis, Summarization",Subordinate,3,The determination of client services to not understand good data viz practices,Better design,That I'm trying to improve the products that they sell,5,5,2,Two-way communication over delivered products,More discussion around engaging with stakeholders (e.g. requirements gathering),Cole Knaflic,Much more,5,Bachelors,Private sector,English Literature,Man,No,Wellington,New Zealand,English
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Scientist,$40k - $60k,,"Analysis, Machine Learning",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4,"Research, Data Science/Analytics",2,6,22,1,6,1,"D3, ggplot2, Python, R",I'm able to choose my own tools.,"Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Network Diagram","Analysts, Scientists",Expert,Daily,"Analysis, Research",Collaborative,4,,,,1,4,4,,,"Alberto Cairo, Edward Tufte",More,0,PhD,Academic,math,Man,No,Trento,Italy,"Italian, English"
Mostly Self-Taught,"Video Tutorials, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Analyst,"Less than $20,000",$3.00,"Analysis, Storytelling, Education",Separate data visualization group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Research, IT",3,1,2,1,4,5,"Excel, ggplot2, Plotly, Python, Tableau, Matplotlib",I'm able to choose my own tools.,"Dashboard, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Infographics","General Public, Analysts","Intro, Moderate",Quarterly,"Analysis, Education, Research",Collaborative,2,Inadequate data source,Make data more available,Complexity of using tools,4,4,4,More data,Make public data more accessible,,Much more,6,Technical School,Not-for-profit,Information Technology,Man,No,Kampala,Uganda,
Mostly Self-Taught,"Books, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,Developer,$20k - $40k,$14.00,"Analysis, Machine Learning, Marketing",Embedded in another group,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Research, IT, Data Science/Analytics",2,8,8,0,8,1,"D3, Excel, Python",I'm able to choose my own tools.,"Embedded in a tool, Interactive Notebook, Presentations","Bar Chart, Pie Chart, Scatterplot","Engineers, Scientists, Medical Professionals, Project Managers",Moderate,Not tracked / Unknown,"Entertainment, Education, Research",Collaborative,4,Too little time.,,"That depends which people - some understand everything, others nothing.",5,4,4,No one change.,"More high level ideas about choosing the right visualization for given data, not just technicalities about different kinds of ""plots"".",,More,5,Masters,Private sector,Computer Science,Man,No,Bytom,Poland,"Polish, English, German"
Mostly From School (or other formal courses),"Workshops, Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,More,Developer,$120k - $140k,$62.00,"Analysis, Summary/Overview, Communication, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,"Engineering, IT, Data Science/Analytics",15,15,0,5,5,0,"ArcGIS, Leaflet, Mapbox, Python, QGIS",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Embedded in a tool, Dashboard, Scrollytelling, Email","Bar Chart, Pie Chart, Choropleth Map, Raster Map","General Public, Analysts, Engineers, Product Managers, Project Managers, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, Capital Planning",Consultative,3,less freedom to learn new tools,more training on a variety of tools and design,how much data prep is required,4,4,3,Learn more skills,,,Much more,10,Masters,Public sector,Watershed Hydrology,Man,"No, but I identify as an Ally",San Francisco,USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Engineer,$100k - $120k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Separate data visualization group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,"Design, Engineering, Marketing, Research, IT, Leadership, Data Science/Analytics",20,5,5,5,5,0,"D3, Angular, Excel, React, Vega, WebGL, Kibana",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Embedded in a tool, Dashboard, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Force-Directed Graph","General Public, Analysts, Scientists","Moderate, Expert",Weekly,Analysis,Consultative,5,,,,3,4,2,,,,More,12,Bachelors,Private sector,,Man,No,Kössen,Austria,
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my data skills,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Engineer,$200k+,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Both,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Design, Engineering, Marketing, Research, Data Science/Analytics",15,5,2,2,5,4,"D3, Mapbox, kepler.gl, React, WebGL, Canvas",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Documents","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Dendrogram, Flow Diagram (Sankey, DAGRE, Flow Chart), 3D Charts","General Public, Analysts, Engineers, Executives, Designers","Moderate, Expert",Weekly,"Entertainment, Journalism, Analysis, Summarization, Education, Research, PR/Branding",Consultative,4,,,,2,3,2,,,,Much more,3,Masters,Private sector,Music,Man,Yes,New York,USA,English
